Name,Organization,Year Elected,Residency
Thomas Bacon,APS,1768,Resident
Lynford Lardner,APS,1768,Resident
Arthur Lee,APS,1768,Resident
Francis L. Lee,APS,1768,Resident
Samuel Bowen,APS,1769,Resident
Richard Brooke,APS,1769,Resident
Landon Carter,APS,1769,Resident
Daniel Clark,APS,1769,Resident
Myles Cooper,APS,1769,Resident
John Jones,APS,1769,Resident
Carolus Linnaeus,APS,1769,International
John Lorimer,APS,1769,Resident
John M. Otto,APS,1769,Resident
Ebenezer Prime,APS,1769,Resident
Samuel Shoemaker,APS,1769,Resident
Earl William Alexander,APS,1770,Resident
Joel Bailey,APS,1770,Resident
Joseph Ellicott,APS,1770,Resident
James Ferguson,APS,1770,International
John Fothergill,APS,1770,International
Joseph Gilpin,APS,1770,Resident
George Guald,APS,1770,Resident
John David Hahn,APS,1770,International
John Morell,APS,1770,Resident
Edward Nairne,APS,1770,International
John Baynton,APS,1771,Resident
Henry Benbridge,APS,1771,Resident
Samuel Filsted,APS,1771,International
Archibald Gloucester,APS,1771,International
Henry Hill,APS,1771,Resident
James Lloyd,APS,1771,Resident
Frederick W. von Marschall,APS,1771,Resident
Nevil Maskelyne,APS,1771,International
Charles A. McCall,APS,1771,Resident
Samuel Preston Moore,APS,1771,Resident
Charles Morton,APS,1771,International
Joseph Otolenge,APS,1771,Resident
William Parr,APS,1771,Resident
Thomas Preston,APS,1771,Resident
Samuel Rhoads,APS,1771,Resident
Richard Thomas,APS,1771,Resident
Stephen Adye,APS,1772,International
Gerard Bancker,APS,1772,Resident
Daniel Coxe,APS,1772,Resident
Peter Dolland,APS,1772,International
Thomas Hutchins,APS,1772,Resident
Timothy Lane,APS,1772,International
Henry Laurens,APS,1772,Resident
Jesse Lukens,APS,1772,Resident
Arch McClean,APS,1772,Resident
George Milligan,APS,1772,Resident
John Montresor,APS,1772,International
Samuel Williams,APS,1772,Resident
Tobern Bergmann,APS,1773,International
Thomas Coombe,APS,1773,Resident
Baron von Timotheus M. Klingstadt,APS,1773,International
William Ludlam,APS,1773,International
Andrew Oliver,APS,1773,Resident
Jean B. Le Roy,APS,1773,International
Alexander Small,APS,1773,International
James Tilton,APS,1773,Resident
Nicholas Way,APS,1773,Resident
James Bringhurst,APS,1774,Resident
William Bryant,APS,1774,Resident
Sharp Delany,APS,1774,Resident
Andrew Duncan,APS,1774,International
Bryan Edwards,APS,1774,International
John Ellis,APS,1774,Resident
Jonathan Elmer,APS,1774,Resident
George Gauld,APS,1774,Resident
John Jones,APS,1774,Resident
Walter Jones,APS,1774,Resident
James McClurg,APS,1774,Resident
Samuel More,APS,1774,International
Benjamin Morgan,APS,1774,Resident
Thomas Parke,APS,1774,Resident
John Perkins,APS,1774,Resident
Bernard Romans,APS,1774,Resident
Lord Mahon Charles Stanhope,APS,1774,International
Lord Mahon Philips Stanhope,APS,1774,International
William Wright,APS,1774,International
Charles Adams,APS,1775,International
Jacques Barbeu-Dubourg,APS,1775,International
Marquis de M.J.A.N. Caritat Condorcet,APS,1775,International
Louis J.M. Daubenton,APS,1775,International
Fortunatus Dwarris,APS,1775,International
Thomas Gibbons,APS,1775,International
Samuel Holland,APS,1775,International
Antoine L. Lavoisier,APS,1775,International
Pierre J. Macquer,APS,1775,International
Benjamin Moseley,APS,1775,International
Guillaume T. F. Raynall,APS,1775,International
Le Roux,APS,1775,International
Jean F. Rozier,APS,1775,International
George Duffield,APS,1779,Resident
James Hutchinson,APS,1779,Resident
Charles Pettit,APS,1779,Resident
Conrad A. Gerard de Rayneval,APS,1779,International
Jean-Joseph Sue,APS,1779,International
John Adams,APS,1780,Resident
Marquis de Francois Barbe-Marbois,APS,1780,International
William Brown,APS,1780,Resident
William Carmichael,APS,1780,Resident
Arthur St. Clair,APS,1780,Resident
Robert Erskine,APS,1780,Resident
William Grayson,APS,1780,Resident
Alexander Hamilton,APS,1780,Resident
William C. Houston,APS,1780,Resident
John Jay,APS,1780,Resident
Thomas Jefferson,APS,1780,Resident
J.C. Kunze,APS,1780,Resident
John Laurens,APS,1780,Resident
Anne C. de la Luaerne,APS,1780,International
Rev. James Madison,APS,1780,Resident
Timothy Matlack,APS,1780,Resident
Baron Friedrich W. von Steuben,APS,1780,Resident
Jean-Baptiste Ternant,APS,1780,International
Charles Vallancey,APS,1780,International
George Washington,APS,1780,Resident
Anthony Wayne,APS,1780,Resident
Thomas Bee,APS,1781,Resident
Marquis de Francois J. Chastellux,APS,1781,International
Isaac Gray,APS,1781,Resident
Ebenezer Hazard,APS,1781,Resident
Jared Ingersoll,APS,1781,Resident
Marquis de Motier Theodore Lafayette,APS,1781,International
Hugh Shiell,APS,1781,Resident
Chevalier d' Charles F.A. Le Paulmier Annemours,APS,1783,International
John Beale Bordley,APS,1783,Resident
Jean F. Coste,APS,1783,International
Robert Davidson,APS,1783,Resident
Felice Fontana,APS,1783,International
Antoine Court de Gebilin,APS,1783,International
Samuel Huntingdon,APS,1783,Resident
Robert M. Patterson,APS,1783,Resident
Comte Charles C. Labillarderie Angivillier,APS,1784,International
Jeremy Belknap,APS,1784,Resident
Peter J. Van Berckel,APS,1784,International
Barnabas Binney,APS,1784,Resident
Robert Blackwell,APS,1784,Resident
Fred F.S. de Brahm,APS,1784,International
Pedro Rodriguez Campomanes,APS,1784,International
John Dunlap,APS,1784,Resident
John Foulke,APS,1784,Resident
George Fox,APS,1784,Resident
Arch Gamble,APS,1784,Resident
George Gray,APS,1784,Resident
J.H.C. Helmuth,APS,1784,Resident
Thomas Heyward,APS,1784,Resident
Rev. Samuel Magaw,APS,1784,Resident
John H. de Magellan,APS,1784,International
Jonathan D. Sergeant,APS,1784,Resident
James Six,APS,1784,International
John Vaughan,APS,1784,Resident
Samuel Vaughan,APS,1784,Resident
Comte de Charles G. Vergennes,APS,1784,International
Frederick E.F. Bertholff,APS,1785,International
Comte de Luc Urbain du Bouexic,APS,1785,International
William Bradford,APS,1785,Resident
Edward Burd,APS,1785,Resident
John Carson,APS,1785,Resident
Adair Crawford,APS,1785,International
Manasseh Cutler,APS,1785,Resident
Andrew Ellicott,APS,1785,Resident
Samuel Powel Griffiths,APS,1785,Resident
Samuel G. Hermelin,APS,1785,International
Sir William Herschel,APS,1785,International
Hugh James,APS,1785,International
Thaddeus Kosciusko,APS,1785,International
James Madison,APS,1785,Resident
Joseph Mandrillion,APS,1785,International
James McHenry,APS,1785,Resident
Christian F. Michailis,APS,1785,International
Henry E. Muhlenberg,APS,1785,Resident
Mann Page,APS,1785,Resident
Thomas Paine,APS,1785,Resident
William Parker,APS,1785,International
Robert Perceval,APS,1785,International
Richard Price,APS,1785,International
Joseph Priestley,APS,1785,International
Samuel S. Smith,APS,1785,Resident
Jean-Baptiste Sue,APS,1785,International
George Wall,APS,1785,Resident
Benjamin Workman,APS,1785,Resident
James Beattie,APS,1786,International
Pierre J.G. Cabanis,APS,1786,International
Conte Luigi Castiglioni,APS,1786,International
Jacques A.C. Charles,APS,1786,International
George Clymer,APS,1786,International
Lorenz Crell,APS,1786,International
Benjamin Duffield,APS,1786,Resident
Aime A.J. Feutry,APS,1786,International
William Temple Franklin,APS,1786,Resident
Thibert Garbier,APS,1786,International
Rene G. Gastelier,APS,1786,International
Granchain,APS,1786,International
Guillaume Grivel,APS,1786,International
Thomas Henry,APS,1786,International
Jonathan Hoge,APS,1786,Resident
Jan Ingenhousz,APS,1786,International
John Andrews,APS,1786,Resident
Richard Kirwan,APS,1786,International
John Morris,APS,1786,Resident
Robert Morris,APS,1786,Resident
Nicolas Noel,APS,1786,International
Charles Willson Peale,APS,1786,Resident
Thomas Percival,APS,1786,International
Robert E. Pine,APS,1786,Resident
William Rawle,APS,1786,Resident
Duc de Louis A. La Rochefoucauld d'Enville,APS,1786,International
Julien D. Le Roy,APS,1786,International
Jean L.G. Soulavie,APS,1786,International
Benjamin Vaughan,APS,1786,International
Samuel Vaughan,APS,1786,Resident
Louis G. Le Veillard,APS,1786,International
Charles H. Wharton,APS,1786,Resident
John Whitehurst,APS,1786,International
William Baker,APS,1787,International
Sir Joseph Banks,APS,1787,International
Robert Barclay,APS,1787,International
Thomas Barnes,APS,1787,International
William Barton,APS,1787,Resident
John Bayard,APS,1787,Resident
William Bingham,APS,1787,Resident
James Bowdoin,APS,1787,Resident
Louis C. Cadet-Gassicourt,APS,1787,International
Benjamin Chew,APS,1787,Resident
Isaac Craig,APS,1787,Resident
Enoch Edwards,APS,1787,Resident
John Hunter,APS,1787,International
Joseph James,APS,1787,Resident
Francis Johnston,APS,1787,Resident
John Johnston,APS,1787,Resident
Charles Lennox,APS,1787,International
John Coakley Lettsom,APS,1787,International
Hon. John Lowell,APS,1787,Resident
Robert Milligan,APS,1787,Resident
Sir Edward Newenham,APS,1787,International
Comte Louis G. Otto,APS,1787,International
John R.B. Rodgers,APS,1787,Resident
Thomas Ruston,APS,1787,Resident
William W. Smith,APS,1787,Resident
George Spence,APS,1787,International
William Thornton,APS,1787,International
George Vaux,APS,1787,International
Antoine A.F. Cadet de Vaux,APS,1787,International
Thomas White,APS,1787,International
Jonathan Williams,APS,1787,Resident
Caspar Wistar,APS,1787,Resident
Simeon De Witt,APS,1787,Resident
Burgiss Allison,APS,1789,Resident
Charles Arthaud,APS,1789,International
Benjamin Smith Barton,APS,1789,Resident
Samuel Beach,APS,1789,International
Sir Charles Blagden,APS,1789,International
John Bleakley,APS,1789,Resident
David Brearly,APS,1789,Resident
Jean P. Brissot,APS,1789,International
